Country,Region,Locality,Latitude,Longitude,Source of information
USA,New York,,42.994145,-78.81778,GBIF 2020
USA,New York,,43.004198,-77.883525,GBIF 2020
USA,Michigan,,43.006167,-85.002167,GBIF 2020
USA,New York,,43.015389,-78.484558,GBIF 2020
USA,Wisconsin,,43.038767,-87.902335,GBIF 2020
USA,Michigan,,43.076667,-84.7805,GBIF 2020
USA,New Hampshire,,43.164511,-71.509566,GBIF 2020
USA,New York,,43.193538,-77.409988,GBIF 2020
USA,New York,,43.303028,-77.714034,GBIF 2020
USA,Wisconsin,,43.39472,-87.863551,GBIF 2020
USA,Ohio,"Wellington Co., Clairfields Dr. W.",43.499,-80.2,GBIF 2020
USA,Wisconsin,,43.67563,-87.709259,GBIF 2020
USA,Wisconsin,,43.67709,-87.708413,GBIF 2020
USA,Vermont,,44.257688,-72.582954,GBIF 2020
USA,Vermont,,44.357514,-73.005303,GBIF 2020
USA,Wisconsin,,44.517803,-89.553059,GBIF 2020
USA,Minnesota,,44.886563,-93.179289,GBIF 2020
USA,Minnesota,,44.890676,-93.180808,GBIF 2020
USA,Minnesota,,44.939657,-93.212728,GBIF 2020
USA,Minnesota,,44.955451,-93.157029,GBIF 2020
USA,Minnesota,,44.958255,-93.154602,GBIF 2020
USA,Minnesota,,45.031186,-93.109344,GBIF 2020
USA,Minnesota,,45.179624,-93.085355,GBIF 2020
Canada,Manitoba,Winnipeg,49.913721,-97.197488,Emerald ash borer info 2020
Canada,Ontario,,48.34828,-89.27361,Emerald ash borer info 2020
USA,Wisconsin,,46.711929,-92.101347,Emerald ash borer info 2020
USA,Michigan,,47.383908,-88.105716,Emerald ash borer info 2020
USA,Michigan,,46.778875,-87.597992,Emerald ash borer info 2020
USA,Michigan,,46.395049,-86.709477,Emerald ash borer info 2020
USA,Michigan,,46.360021,-84.526266,Emerald ash borer info 2020
Canada,Ontario,,45.04818,-79.220557,Emerald ash borer info 2020
Canada,Quebec,,45.460647,-75.741299,Emerald ash borer info 2020
Canada,Quebec,,46.777067,-71.240008,Emerald ash borer info 2020
Canada,Quebec,,46.444999,-72.382586,Emerald ash borer info 2020
Canada,Quebec,,45.4674,-73.657,Emerald ash borer info 2020
Canada,New Brunswick,,45.866629,-65.395282,Emerald ash borer info 2020
USA,South Dakota,,43.61458,-96.787122,Emerald ash borer info 2020
USA,Nebraska,,41.926776,-96.421302,Emerald ash borer info 2020
USA,Kansas,,39.106721,-95.32384,Emerald ash borer info 2020
USA,Oklahoma,,34.053242,-94.696719,Emerald ash borer info 2020
USA,Louisiana,,32.81031,-92.606316,Emerald ash borer info 2020
USA,Tennessee,,35.724934,-86.439627,Emerald ash borer info 2020
USA,Alabama,,33.966601,-85.786376,Emerald ash borer info 2020
USA,Georgia,,33.706149,-84.453744,Emerald ash borer info 2020
USA,South Carolina,,34.89334,-82.467861,Emerald ash borer info 2020
USA,New York,Syracuse,43.038155,-76.130619,Emerald ash borer info 2020
Russia,Khabarovskyi kr.,Troitskoe,49.42,136.56,Sobek-Swant et al. (2012)
Russia,Primorskiy kr.,Sikhote-Alin Nature Reserve,45.19,136.15,Alexeev (1979)
China,Heilongjang,Yichun,47.73,128.84,Wei et al. (2004)
Russia,Primorskiy kr.,Novochugujevka,44.22,133.84,Jendek & Grebennikov (2011)
Russia,Khabarovskyi kr.,"Khabarovsk, 25 Kilometr",48.25,135.05,Yurchenko et al. (2007)
Russia,Khabarovskyi kr.,"Khabarovsk, Gagarin Park",48.28,135.06,Duan et al. (2012)
Russia,Khabarovskyi kr.,"Khabarovsk, Arboretum",48.28,135.06,Examined specimens from collection of Collection of Federal Scientific Centre of Biodiversity of Terrestrial Biota of East Asia and Duan et al. (2012)
Russia,Khabarovskyi kr.,Khekhtsir,48.13,135.07,Duan et al. (2012)
Russia,Khabarovskyi kr.,"Khabarovsk, Southern microdistrict",48.39,135.11,Yurchenko (2009)
Russia,Primorskiy kr.,Benevskoe,43.17,133.76,Jendek (1994)
Russia,Primorskiy kr.,"Lazovski Nature Reserve, Korpad",43.1,133.91,"Examined specimens from collection of ZIN, Volkovitsh (2009)"
Russia,Primorskiy kr.,"S. Sikhote-Alin, Sokolchi",43.36,134.11,Examined specimens from collection of M.Yu. Kalasyan
China,Heilongjang,Mudanjian,44.55,129.63,Wei et al. (2004)
